ax,ay,az,gx,gy,gz,mx,my,mz,label
-0.31,0.94,0.19,1.65,-3.66,0.12,-0.44,-99.37,-46.74,unknown
-0.31,0.93,0.19,2.01,-5.55,1.1,-0.11,-99.84,-46.78,unknown
-0.31,0.93,0.19,1.65,-4.33,0.79,0.1,-100.05,-46.7,unknown
-0.31,0.93,0.19,0.43,-2.01,-0.43,-0.57,-100.2,-46.59,unknown
-0.3,0.93,0.19,0.61,-1.77,-0.85,0.01,-99.54,-46.83,unknown
-0.3,0.93,0.19,0.12,-2.5,-1.77,-0.35,-100.04,-45.39,unknown
-0.3,0.93,0.19,1.1,-3.23,-0.67,-0.39,-100.39,-46.08,unknown
-0.3,0.93,0.19,2.08,-4.94,-0.18,-0.42,-100.29,-47.12,unknown
-0.3,0.93,0.19,2.38,-8,-3.11,-0.13,-100.54,-46.69,unknown
-0.3,0.93,0.19,1.83,-7.57,-3.54,0.61,-100.24,-45.18,unknown
-0.3,0.94,0.19,0.79,-6.65,-4.39,1.38,-101.39,-46.29,unknown
-0.29,0.94,0.18,2.32,-4.7,0.92,1.39,-100.83,-46.29,unknown
-0.3,0.93,0.19,4.21,-3.91,5.74,0.94,-100.37,-46.8,unknown
-0.32,0.93,0.2,5.62,-9.09,4.46,1.27,-100.77,-47.16,unknown
-0.31,0.93,0.19,4.64,-7.26,3.91,1.14,-101.03,-47.97,unknown
-0.31,0.93,0.19,2.26,-4.09,1.59,0.43,-101.01,-47.72,unknown
-0.31,0.93,0.2,1.16,-2.5,0.24,0.59,-101.12,-47.01,unknown
-0.31,0.93,0.2,1.4,-2.56,0.85,0.98,-100.84,-46.31,unknown
-0.32,0.93,0.2,2.32,-5.49,0.61,0.6,-100.88,-46.79,unknown
-0.31,0.93,0.2,2.5,-7.57,-1.4,0.46,-100.81,-48.27,unknown
-0.31,0.93,0.19,1.34,-6.23,-1.95,1.31,-101.29,-46.98,unknown
-0.3,0.93,0.21,-0.49,-3.66,-2.26,1.87,-101.84,-47.68,unknown
-0.31,0.93,0.19,2.14,-6.35,-1.04,1.99,-101.06,-47.14,unknown
-0.31,0.93,0.2,3.05,-5.49,0.37,1.83,-101.29,-48.16,unknown
-0.31,0.93,0.2,3.05,-6.16,1.46,1.92,-101.55,-47.71,unknown
-0.31,0.93,0.2,2.87,-6.41,0.06,1.84,-101.84,-47.05,unknown
-0.3,0.93,0.2,2.87,-6.16,2.69,1.89,-102.05,-48.77,unknown
-0.33,0.92,0.2,2.32,-4.03,2.2,2.58,-102.54,-48.45,unknown
-0.32,0.93,0.2,2.32,-2.32,4.39,1.79,-101.82,-47.6,unknown
-0.33,0.92,0.2,2.87,-3.23,4.39,1.53,-101.86,-49.56,unknown
-0.33,0.92,0.2,0.73,-2.56,0.06,1.72,-102.14,-49.13,unknown
-0.32,0.93,0.2,-0.98,-0.12,0.79,0.94,-101.22,-48.57,unknown
-0.33,0.92,0.2,-0.12,1.71,2.87,1.12,-101.55,-48.13,unknown
-0.32,0.93,0.2,-1.1,2.81,1.59,1.21,-101.5,-48.67,unknown
-0.32,0.92,0.2,-0.43,1.46,0.67,0.4,-100.61,-48.3,unknown
-0.32,0.92,0.2,0.18,-0.12,0.61,0.84,-101.51,-47.63,unknown
-0.33,0.92,0.2,-0.12,-0.73,0.12,0.52,-101.32,-48.41,unknown
-0.33,0.92,0.2,-0.06,0.61,1.04,0.7,-101.28,-48.16,unknown
-0.32,0.93,0.19,-0.12,5.62,6.23,-0.28,-100.76,-47.67,unknown
-0.33,0.92,0.2,-1.83,10.93,12.27,-1.2,-100.24,-48.75,unknown
-0.35,0.91,0.2,-4.94,21.3,11.23,-3.03,-99.39,-49.61,unknown
-0.33,0.91,0.21,-7.14,22.03,6.9,-3.82,-99,-49.9,unknown
-0.34,0.92,0.22,-2.56,6.59,1.1,-4.76,-98.58,-48.49,unknown
-0.34,0.92,0.21,2.32,-4.64,2.81,-4.22,-98.28,-48.11,unknown
-0.35,0.92,0.2,2.38,-3.78,3.6,-4.44,-97.94,-50.12,unknown
-0.35,0.91,0.21,1.53,-0.49,4.52,-3.83,-98.63,-50,unknown
-0.35,0.91,0.21,2.01,-0.73,4.33,-4.85,-97.83,-49.43,unknown
-0.36,0.91,0.21,2.93,-2.56,3.78,-5.44,-97.97,-50.46,unknown
-0.36,0.9,0.21,1.22,-2.62,-0.43,-5.83,-97.74,-51.11,unknown
-0.36,0.91,0.21,0.49,0.18,-0.85,-5.47,-97.89,-49.66,unknown
-0.36,0.91,0.21,0.18,0,2.81,-5.4,-97.14,-50.22,unknown
-0.36,0.91,0.21,1.46,-2.56,2.5,-5.63,-97.31,-50.83,unknown
-0.36,0.91,0.21,2.69,-3.42,4.15,-5.49,-97.55,-50.32,unknown
-0.36,0.91,0.21,2.44,-1.16,7.26,-6.3,-97.3,-50.77,unknown
-0.41,0.9,0.21,4.88,1.22,17.03,-7.79,-97.44,-52.25,unknown
-0.38,0.88,0.24,9.52,0.92,23.01,-9.41,-96.48,-53.36,unknown
-0.41,0.88,0.23,9.03,-5.92,18.86,-10.45,-95.69,-54.26,unknown
-0.43,0.87,0.23,5.62,-2.44,15.01,-11.96,-95.68,-55.38,unknown
-0.43,0.87,0.24,2.69,-0.43,5.86,-12.54,-95.76,-56.31,unknown
-0.44,0.86,0.24,1.65,-1.59,3.48,-12.49,-95.31,-56.26,unknown
-0.44,0.86,0.24,0.67,-2.56,0.18,-12.52,-95.81,-55.87,unknown
-0.44,0.87,0.24,0.43,-2.93,-3.23,-12.37,-95.23,-56.36,unknown
-0.43,0.87,0.24,-0.12,-2.01,-2.14,-12.17,-95.61,-55.71,unknown
-0.43,0.87,0.24,0.92,-2.56,-0.18,-12.33,-95.85,-55.48,unknown
-0.44,0.87,0.24,1.95,-3.72,1.16,-12.07,-95.32,-54.85,unknown
-0.43,0.87,0.24,2.5,-3.11,2.62,-12.01,-95.65,-55.41,unknown
-0.44,0.87,0.24,2.69,-2.5,2.44,-12.87,-95.59,-55.57,unknown
-0.44,0.87,0.24,3.48,-3.23,5.13,-13.33,-95.06,-55.3,unknown
-0.44,0.87,0.25,5.13,-4.46,8.24,-13.9,-95.61,-56.93,unknown
-0.45,0.86,0.25,7.14,-5.43,11.78,-14.47,-94.71,-57.17,unknown
-0.47,0.85,0.26,6.96,-7.2,13.73,-14.92,-94.97,-57.71,unknown
-0.48,0.83,0.25,6.23,-7.63,10.01,-15.61,-95.35,-58.68,unknown
-0.48,0.84,0.25,2.99,-1.34,6.23,-15.89,-95.43,-58.86,unknown
-0.49,0.84,0.26,1.89,-1.65,3.85,-16.22,-94.96,-58.62,unknown
-0.49,0.84,0.26,2.2,-3.3,3.48,-15.97,-95.07,-58.12,unknown
-0.49,0.83,0.26,1.4,-2.14,0.79,-16.71,-95.24,-58.97,unknown
-0.49,0.84,0.26,-0.55,-0.61,-1.53,-16.63,-94.86,-59.38,unknown
-0.49,0.84,0.26,0.31,-3.78,-1.59,-16.69,-95.09,-58.78,unknown
-0.49,0.83,0.26,1.65,-5.31,-2.32,-16.47,-94.54,-59.29,unknown
-0.49,0.84,0.26,2.75,-5.13,-1.28,-15.53,-94.56,-58.97,unknown
-0.49,0.84,0.25,1.34,-3.6,-0.12,-15.5,-94.98,-58.62,unknown
-0.49,0.83,0.26,-0.73,-2.69,-3.17,-15.86,-95.51,-57.97,unknown
-0.48,0.84,0.26,4.46,-10.13,-3.54,-15.06,-95.09,-58.52,unknown
-0.48,0.84,0.26,7.51,-10.5,0.85,-15.33,-95.56,-57.51,unknown
-0.49,0.84,0.25,9.09,-11.47,4.46,-15.26,-96.24,-58.22,unknown
-0.49,0.83,0.26,5.37,-8.06,1.83,-15.22,-96.07,-58.59,unknown
-0.49,0.83,0.26,2.01,-6.96,-5.8,-14.82,-96.26,-59.13,unknown
-0.49,0.84,0.26,2.26,-8.3,-4.52,-14.38,-97.56,-58.64,unknown
-0.49,0.84,0.25,4.03,-9.64,-2.93,-14.2,-98.08,-58.67,unknown
-0.49,0.83,0.25,7.26,-14.28,-3.48,-13.99,-98.27,-58.86,unknown
-0.48,0.84,0.25,5.13,-13.37,-3.3,-13.43,-99.29,-58.85,unknown
-0.48,0.84,0.24,-5.25,-11.96,-2.5,-12.92,-99.11,-58.25,unknown
-0.48,0.84,0.23,-10.38,-5.13,0.24,-12.84,-98.75,-56.8,unknown
-0.49,0.84,0.23,-4.15,-4.21,-0.24,-12.27,-99.17,-57.1,unknown
-0.48,0.85,0.22,0.37,-4.27,-0.06,-12.12,-99.21,-56.25,unknown
-0.48,0.85,0.23,5.07,-4.15,-0.55,-11.89,-99.32,-56.92,unknown
-0.49,0.85,0.23,2.2,-3.85,0.31,-12.32,-99.38,-56.21,unknown
-0.48,0.85,0.23,1.22,-3.17,-1.71,-11.73,-99.49,-56.37,unknown
-0.48,0.85,0.23,2.2,-4.03,-1.34,-11.24,-99.04,-56.38,unknown
-0.48,0.85,0.23,1.83,-4.39,-0.55,-11.98,-99.96,-56.07,unknown
-0.48,0.85,0.23,-5.55,-3.66,-2.2,-11.79,-99.96,-56.6,unknown
-0.48,0.86,0.21,-10.8,-4.64,-5.86,-11.13,-100.24,-54.1,unknown
-0.48,0.86,0.2,-3.6,-2.93,-0.98,-11.1,-100.5,-53.97,unknown
-0.47,0.86,0.2,2.69,-3.42,0.73,-10.95,-100.79,-53.39,unknown
-0.47,0.86,0.21,5.92,-3.05,0.49,-10.93,-100.49,-54.36,unknown
-0.48,0.85,0.22,6.47,-2.81,1.65,-11.22,-100.42,-54.81,unknown
-0.48,0.85,0.22,0.06,-3.42,1.4,-10.93,-100.18,-55.99,unknown
-0.48,0.85,0.21,1.77,-8.06,-6.16,-10.97,-100.98,-54.98,unknown
-0.47,0.87,0.2,-6.29,-6.84,-2.2,-10.29,-101.2,-53.66,unknown
-0.48,0.86,0.2,2.01,-4.52,1.28,-10,-100.72,-53.59,unknown
-0.47,0.86,0.2,14.16,-6.53,-0.73,-10.1,-101.03,-55.04,unknown
-0.48,0.85,0.22,16.36,-6.23,0.85,-10.58,-101.57,-54.74,unknown
-0.47,0.85,0.22,10.44,-5.49,0.18,-9.94,-101.71,-56.63,unknown
-0.48,0.85,0.23,4.82,-4.76,0.73,-10.33,-101.65,-56.46,unknown
-0.48,0.85,0.23,3.91,-4.39,0.24,-10.06,-101.56,-56.88,unknown
-0.48,0.85,0.23,1.22,-3.17,1.4,-9.73,-101.98,-56.6,unknown
-0.48,0.85,0.23,3.11,-1.65,1.46,-9.84,-102.11,-57.04,unknown
-0.48,0.85,0.23,0.06,-0.85,1.53,-10.4,-101.51,-57.28,unknown
-0.48,0.85,0.23,1.59,-2.01,1.59,-10.53,-101.95,-56.96,unknown
-0.48,0.85,0.24,3.42,-1.77,1.83,-10.66,-101.76,-57.97,unknown
-0.48,0.84,0.24,-0.12,-0.37,1.46,-10.72,-101.42,-58.18,unknown
-0.48,0.85,0.24,-2.08,-1.22,0.12,-10.8,-102.16,-58.17,unknown
-0.48,0.85,0.23,-1.89,-2.32,-3.91,-10.17,-102.06,-57.84,unknown
-0.47,0.86,0.23,0.12,-3.23,-3.72,-9.27,-102.31,-57.39,unknown
-0.47,0.85,0.23,4.27,-4.46,1.16,-9.95,-102.05,-55.93,unknown
-0.48,0.85,0.24,9.28,-5.19,1.34,-10.16,-102.19,-58.26,unknown
-0.48,0.84,0.25,6.9,-4.76,-1.83,-9.68,-101.7,-58.03,unknown
-0.48,0.85,0.25,3.97,-4.46,-4.7,-9.19,-102.38,-58.68,unknown
-0.47,0.86,0.24,-1.59,0.31,-0.61,-9.22,-102.11,-58.56,unknown
-0.47,0.85,0.24,-4.88,5.8,3.66,-8.95,-102.39,-58.37,unknown
-0.47,0.85,0.25,-1.28,5.92,6.35,-9.85,-101.45,-58.75,unknown
-0.48,0.84,0.25,-5.19,8.36,4.52,-10.73,-101.22,-57.84,unknown
-0.47,0.85,0.25,-2.26,6.23,-2.08,-10.91,-100.77,-59.03,unknown
-0.47,0.85,0.25,2.32,-0.55,-0.18,-10.27,-100.71,-58.23,unknown
-0.47,0.85,0.25,1.77,-2.93,0.43,-10.55,-100.49,-58.01,unknown
-0.47,0.85,0.25,1.04,-1.22,2.5,-10.57,-100.67,-57.7,unknown
-0.47,0.85,0.25,-0.55,0.85,1.4,-10.97,-100.33,-57.5,unknown
-0.47,0.85,0.25,-0.49,1.46,2.44,-10.66,-100.2,-58.37,unknown
-0.48,0.84,0.25,-0.92,3.36,0.92,-11.39,-99.71,-58.87,unknown
-0.47,0.85,0.25,-5.62,8.85,-1.77,-11.49,-100.01,-58.19,unknown
-0.47,0.86,0.25,-4.39,6.77,3.48,-11.49,-99.3,-57.69,unknown
-0.47,0.85,0.25,-0.37,2.5,3.11,-12.01,-99.02,-57.92,unknown
-0.47,0.85,0.25,0.79,-1.16,-1.1,-12.07,-98.93,-57.13,unknown
-0.47,0.85,0.25,-0.43,-0.55,-1.89,-11.99,-98.9,-58.22,unknown
-0.47,0.85,0.24,-3.66,4.09,-1.34,-11.71,-98.95,-56.67,unknown
-0.47,0.85,0.23,-9.4,13.61,-1.34,-12.16,-97.94,-56.16,unknown
-0.47,0.85,0.24,-9.95,18.01,-3.17,-12.83,-97.27,-56.24,unknown
-0.42,0.84,0.43,-2.08,4.64,-3.72,-12.89,-94.82,-56.45,unknown
-0.42,0.87,0.27,-4.21,6.84,-2.99,-12.81,-94.41,-56.18,unknown
-0.44,0.87,0.25,1.53,-5.98,-0.49,-12.9,-94.74,-57.14,unknown
-0.44,0.86,0.24,2.38,-6.23,2.69,-12.95,-94.3,-55.81,unknown
-0.44,0.86,0.24,0.92,-1.95,0.55,-12.7,-94.03,-56.63,unknown
-0.45,0.86,0.24,0.85,-2.56,0.98,-13.33,-94.37,-56.8,unknown
-0.45,0.87,0.24,1.28,-3.91,0.49,-13.4,-94.29,-55.91,unknown
-0.45,0.86,0.24,2.01,-2.81,1.16,-13.45,-93.84,-57.14,unknown
-0.45,0.86,0.24,1.1,-1.28,0.43,-13.43,-94.3,-56.29,unknown
-0.45,0.87,0.24,0.55,-1.59,0.79,-13.46,-94.93,-55.43,unknown
-0.45,0.86,0.24,0.06,-0.73,2.26,-13.33,-94.58,-57.4,unknown
-0.45,0.86,0.24,-2.38,1.16,1.53,-13.72,-94.41,-56.92,unknown
-0.45,0.86,0.25,-4.03,6.96,-1.28,-13.4,-94.53,-57.81,unknown
-0.44,0.86,0.24,-6.29,7.57,-1.95,-13.09,-94.35,-55.9,unknown
-0.44,0.87,0.24,-4.52,6.04,0.43,-12.99,-94.09,-57.93,unknown
-0.44,0.86,0.24,-3.11,5.62,3.3,-13.15,-93.97,-55.83,unknown
-0.44,0.87,0.24,-7.63,5.43,-0.73,-13.39,-94.4,-56.02,unknown
-0.43,0.88,0.23,-0.92,5.68,0.49,-13.1,-93.37,-55.19,unknown
-0.44,0.87,0.24,-3.23,7.14,1.65,-13.51,-93.27,-57.13,unknown
-0.43,0.87,0.23,-4.21,7.26,-1.1,-13.85,-92.32,-56.36,unknown
-0.43,0.87,0.24,-5.19,6.96,-2.69,-14.25,-92.27,-55.91,unknown
-0.42,0.88,0.24,-2.44,1.53,-2.93,-13.84,-92.3,-55.87,unknown
-0.42,0.88,0.23,2.32,-4.52,-0.92,-13.87,-92.33,-55.35,unknown
-0.42,0.88,0.23,4.7,-7.26,0.85,-13.38,-91.88,-55.55,unknown
-0.42,0.87,0.23,3.42,-6.16,0.67,-13.85,-91.7,-55.35,unknown
-0.42,0.88,0.24,1.22,-1.71,-0.92,-13.53,-91.77,-55.02,unknown
-0.42,0.88,0.24,1.4,-2.75,-0.24,-14.1,-91.53,-55.27,unknown
-0.42,0.88,0.24,3.3,-3.97,1.46,-13.85,-91.58,-55.31,unknown
-0.43,0.87,0.24,1.59,-3.3,-0.61,-14.47,-91.82,-55.25,unknown
-0.42,0.88,0.24,0.73,-2.44,-0.98,-13.94,-91.91,-55.63,unknown
-0.42,0.88,0.24,1.77,-3.48,-1.1,-13.57,-92.22,-56.92,unknown
-0.42,0.88,0.24,4.21,-6.59,1.04,-13.81,-92.2,-54.88,unknown
-0.42,0.87,0.24,1.83,-6.59,-1.77,-13.75,-92.66,-55.73,unknown
-0.42,0.88,0.24,2.5,-7.02,-4.33,-13.54,-92.1,-56.13,unknown
-0.43,0.88,0.24,4.94,-10.44,-3.85,-13.48,-92.43,-55.86,unknown
-0.41,0.89,0.23,7.08,-13.43,0.67,-12.96,-92.4,-55.36,unknown
-0.42,0.87,0.24,5.98,-10.25,2.87,-12.96,-92.81,-56.21,unknown
-0.42,0.88,0.24,2.62,-7.51,-2.99,-13.15,-93.36,-54.79,unknown
-0.42,0.88,0.24,2.5,-7.87,-2.62,-12.45,-93.84,-54.96,unknown
-0.42,0.88,0.24,2.38,-6.96,-3.85,-12.15,-94.31,-55.75,unknown
-0.41,0.88,0.24,0.92,-3.66,-3.11,-11.9,-94.4,-54.61,unknown
-0.42,0.88,0.24,0.12,-0.37,-0.12,-11.21,-94.37,-53.93,unknown
-0.41,0.88,0.24,1.16,-2.01,0.79,-11.34,-94.31,-54.47,unknown
-0.41,0.88,0.24,1.77,-4.15,1.4,-11.33,-94.52,-55.37,unknown
-0.42,0.88,0.24,0.18,-3.6,-1.04,-10.93,-94.45,-55.14,unknown
-0.41,0.88,0.24,1.65,-5.31,-1.28,-11.12,-94.45,-54.44,unknown
-0.41,0.88,0.23,4.09,-10.13,-3.72,-11.01,-94.43,-55.37,unknown
-0.41,0.88,0.23,4.33,-8.85,-0.79,-10.3,-95.21,-54.64,unknown
-0.41,0.88,0.24,5.19,-9.16,0.12,-10.96,-95.23,-54.16,unknown
-0.4,0.88,0.24,6.53,-12.57,-2.2,-10.88,-95.15,-54.8,unknown
-0.41,0.88,0.24,7.81,-14.71,-1.83,-9.83,-95.45,-54.57,unknown
-0.43,0.88,0.22,4.58,-9.77,-2.32,-9.3,-96.03,-54.15,unknown
-0.41,0.88,0.24,1.95,-8.48,-2.93,-9.31,-96.72,-54.15,unknown
-0.41,0.89,0.24,5.25,-14.83,-7.02,-8.48,-97.14,-54.96,unknown
-0.4,0.89,0.24,5.68,-14.1,-3.3,-7.84,-97.41,-54.15,unknown
-0.41,0.89,0.22,5.13,-11.11,-3.11,-7.67,-98.89,-54.19,unknown
-0.41,0.89,0.23,0.73,-1.77,-0.61,-7.02,-98.6,-53.83,unknown
-0.41,0.88,0.24,1.71,-2.14,3.36,-7.45,-98.63,-54.97,unknown
-0.41,0.88,0.24,2.38,-3.78,2.01,-7.37,-97.97,-54.26,unknown
-0.41,0.88,0.24,1.83,-4.82,1.71,-7.4,-98.39,-54.98,unknown
-0.42,0.86,0.24,1.04,-3.54,3.05,-6.95,-98.63,-55.03,unknown
-0.41,0.88,0.23,-0.31,-5.31,-8.12,-6.14,-98.85,-54.68,unknown
-0.4,0.89,0.23,1.65,-5.25,-3.54,-5.9,-99.24,-54.13,unknown
-0.4,0.89,0.23,3.97,-5.13,0.85,-6.2,-99.57,-54.77,unknown
-0.4,0.89,0.23,3.97,-3.85,2.44,-6.67,-99.05,-54.27,unknown
-0.41,0.88,0.23,1.53,-2.75,0.43,-6.63,-98.97,-54.64,unknown
-0.41,0.89,0.23,1.95,-3.23,0.12,-6.45,-99.13,-54.39,unknown
-0.41,0.88,0.23,2.5,-2.81,1.83,-6.76,-98.82,-55.02,unknown
-0.41,0.88,0.24,1.89,-4.09,-0.31,-7.08,-99.23,-55.68,unknown
-0.41,0.89,0.23,1.53,-4.7,-2.01,-6.64,-99.15,-55.11,unknown
-0.41,0.89,0.23,1.22,-3.54,-0.85,-6.67,-99.43,-55.18,unknown
-0.41,0.88,0.23,1.89,-2.69,1.04,-6.19,-99.34,-55.2,unknown
-0.41,0.88,0.24,2.26,-3.78,1.34,-5.98,-99.57,-55.83,unknown
-0.41,0.88,0.24,2.14,-2.14,4.39,-6.65,-98.79,-55.98,unknown
-0.41,0.88,0.24,1.95,-0.37,4.88,-6.57,-98.71,-55.13,unknown
-0.42,0.88,0.24,1.4,-0.85,4.15,-7.17,-98.6,-56.05,unknown
-0.42,0.88,0.24,1.1,-1.4,3.05,-7.18,-98.56,-56.71,unknown
-0.42,0.87,0.24,0.43,-3.05,-0.49,-7.39,-98.68,-56.24,unknown
-0.41,0.88,0.24,2.99,-5.25,1.34,-7.42,-99.39,-56.4,unknown
-0.42,0.87,0.24,2.93,-4.94,0.49,-7.31,-98.88,-55.6,unknown
-0.42,0.88,0.24,-0.31,-2.14,-3.17,-7.45,-99.45,-55.97,unknown
-0.42,0.88,0.24,0.92,-2.26,-0.43,-7.4,-99.27,-55.46,unknown
-0.42,0.88,0.24,1.59,-1.71,2.38,-6.81,-98.33,-56.05,unknown
-0.42,0.88,0.24,1.28,-2.56,2.26,-7.37,-98.52,-55.42,unknown
-0.42,0.88,0.24,3.48,-1.71,10.13,-7.67,-98.63,-56.82,unknown
-0.44,0.86,0.24,1.95,4.09,16.05,-9.55,-98.07,-56.97,unknown
-0.44,0.86,0.25,1.22,2.62,8.54,-9.47,-97.69,-57.64,unknown
-0.45,0.85,0.25,-1.77,1.83,0.73,-10.25,-97.5,-58.12,unknown
-0.44,0.87,0.25,-3.17,1.16,-3.66,-9.5,-97.68,-56.85,unknown
-0.44,0.87,0.25,-0.61,-0.06,0.37,-9.72,-97.49,-56.65,unknown
-0.44,0.86,0.25,1.46,-1.65,2.38,-10.23,-97.55,-57.41,unknown
-0.44,0.86,0.25,0.85,-1.65,0.67,-10.63,-97.31,-56.92,unknown
-0.44,0.86,0.25,-0.37,-0.55,-1.22,-10.24,-97.99,-57.35,unknown
-0.43,0.87,0.25,-1.46,0.43,-2.08,-9.92,-97.92,-56.32,unknown
-0.44,0.87,0.24,0.49,-1.22,-0.98,-10.31,-98.57,-56.43,unknown
-0.44,0.86,0.24,-1.34,0.37,-0.73,-9.75,-97.6,-56.57,unknown
-0.43,0.87,0.25,-1.65,1.4,-0.92,-9.55,-97.45,-56.7,unknown
-0.43,0.87,0.24,0.18,-0.92,0.24,-9.66,-97.4,-55.98,unknown
-0.43,0.87,0.24,1.1,-0.79,0.43,-10.01,-97.46,-56.13,unknown
-0.43,0.87,0.24,-1.71,2.01,-1.4,-10.12,-97.69,-55.79,unknown
-0.43,0.87,0.24,-2.38,2.5,-2.56,-9.95,-97.42,-55.92,unknown
-0.43,0.88,0.24,-1.95,1.04,-0.79,-10.11,-97.09,-55.65,unknown
-0.42,0.9,0.24,-1.46,1.28,-1.28,-9.66,-97.58,-55.97,unknown
-0.42,0.88,0.24,-2.5,2.99,-1.59,-9.56,-97.38,-55.74,unknown
-0.42,0.88,0.24,-0.92,1.04,-1.4,-10.08,-96.59,-54.88,unknown
-0.42,0.88,0.24,1.89,-2.44,0.79,-9.3,-96.8,-55.57,unknown
-0.42,0.87,0.24,1.59,-2.08,2.75,-10.33,-96.98,-55.13,unknown
-0.42,0.88,0.24,-0.18,-0.18,1.71,-9.85,-96.58,-55.16,unknown
-0.42,0.87,0.24,-0.98,-0.43,0.61,-10.08,-96.77,-55.18,unknown
-0.42,0.88,0.24,-1.46,-0.73,-2.62,-9.9,-97.01,-56.38,unknown
-0.42,0.88,0.24,-1.65,-0.49,-3.23,-9.5,-96.47,-54.69,unknown
-0.41,0.88,0.23,0.61,0.37,0.67,-9.52,-96.75,-55.27,unknown
-0.41,0.89,0.23,-2.08,5.49,3.05,-9.83,-96.63,-55.77,unknown
-0.41,0.88,0.24,-2.56,5.31,3.6,-10.22,-96.64,-55.81,unknown
-0.42,0.88,0.24,1.95,-1.59,5.55,-10.78,-96.42,-55.68,unknown
-0.42,0.87,0.24,3.48,-2.44,6.23,-10.82,-96.14,-55.31,unknown
-0.43,0.87,0.24,2.81,-0.06,8.24,-11.08,-95.65,-56.86,unknown
-0.43,0.86,0.24,0.85,2.62,6.23,-12.23,-95.7,-56.52,unknown
-0.44,0.86,0.25,-0.49,1.71,2.81,-11.98,-95.42,-56.54,unknown
-0.44,0.87,0.25,-0.24,-1.59,0.06,-12.55,-95.06,-56.59,unknown
-0.44,0.87,0.24,3.05,-5,0.43,-11.98,-95.21,-56.64,unknown
-0.44,0.87,0.24,1.71,-2.87,1.83,-12.82,-94.92,-56.6,unknown
-0.44,0.87,0.24,1.59,-1.89,2.01,-12.43,-94.79,-57.08,unknown
-0.44,0.87,0.25,1.4,-1.46,3.36,-12.85,-94.89,-56.23,unknown
-0.45,0.86,0.24,2.44,-0.43,6.16,-12.85,-94.93,-56.52,unknown
-0.41,0.88,0.22,-0.24,5.68,6.35,-13.24,-94.15,-57.01,unknown
-0.45,0.86,0.26,-3.91,6.96,0.92,-13.62,-93.64,-57.67,unknown
-0.45,0.86,0.25,-2.08,2.2,0.85,-14.21,-93.4,-56.96,unknown
